product_id,Name-EN,Name-JP,Net Weight,Category,Nutrition,Ingredients
11,BLEND M COFFEE,ブレンド Mコーヒー,250 G ,COFFEE,"{""Per"": ""100 g"", ""Energy"": ""39 kcal"", ""Protein"": ""0.7 g"", ""Fat"": ""0.7 g"", ""Carbohydrate"": ""7.6 g"", ""Salt equivalent"": ""0.10 g""}"," Milk (produced in Japan), sugar, coffee, skimmed milk powder, dextrin/emulsifier, stabilizer (carrageenan)"
12,,ブレンド THE BLACK,185 G   ,COFFEE,"{""Per"": ""100 g"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.05 g""}","Coffee (coffee beans (Colombia, Tanzania, etc.))"
13,BEWARE SOUR LEMON,アイスコーヒー,280 G,COFFEE,"{""Per"": ""280 g"", ""Energy"": ""73 kcal"", ""Protein"": ""1.4 g"", ""Fat"": ""0.6 g"", ""Carbohydrate"": ""15.4 g"", ""Salt equivalent"": ""0.20 g""}","Sugar (manufactured in Japan), coffee, whole milk powder, skimmed milk powder/flavoring, emulsifier"
14,CAFÉ AU LAIT,カフェオレ,185 G,COFFEE,"{""Per"": ""185 g"", ""Energy"": ""83 kcal"", ""Protein"": ""2.0 g"", ""Fat"": ""1.7 g"", ""Carbohydrate"": ""14.8 g"", ""Salt equivalent"": ""0.10 g""}","Milk (manufactured in Miyazaki Prefecture), sugar, food made mainly from milk, coffee (coffee beans (Ethiopia)), skimmed milk powder, whole milk powder, syrup/flavoring, emulsifier, casein sodium, cellulose, stabilizer (carrageenan), (some milk ingredients and gelatin are included"
15,UCC BLACK SUGAR FREE SPECIALTY COFFEE BLEND RICH,無糖スペシャルティコーヒーブレンド リッチャブ,275 G,COFFEE,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.4 g"", ""Salt equivalent"": ""0.00 g""}",Coffee (manufactured in Japan)
16,UCC COLD BREW BLACK,UCC Cold Brew BLACK,500 ML,COFFEE,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.5 g"", ""Salt equivalent"": ""0.00 g""}", Coffee (manufactured in Japan)
17,VEGETABLE JUICE FOR ONE DAY LIGHT,野菜一日これ一本Light,200 ML,JUICE,"{""Per"": ""200 ml"", ""Energy"": ""32 kcal"", ""Protein"": ""1.7 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""6.8 g"", ""Salt equivalent"": ""0.10 g""}"," Vegetables (Chinese cabbage (Polish, Chilean), tomatoes, red perilla, carrots, kale, mekabetsu (petitvale), green pepper, spinach, broccoli, Ashitaba, beet, Chinese cabbage, komatsuna, pumpkin, parsley, watercress, asparagus, celery, ginger, corn, burdock, green peas, purple potatoes, cabbage, lettuce, onions, radish, purple cabbage, cauliflower, eggplant), lemon juice"
18,SUPER CONCENTRATED CALCIUM & MAGNESIUM,野菜一日これ一本超濃縮カルシウム&マグネシウム,125 ML,JUICE,"{""Per"": ""125 ml"", ""Energy"": ""58 kcal"", ""Protein"": ""1.8 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""13.5 g"", ""Salt equivalent"": ""0.20 g""}"," Vegetables (tomatoes (imported), carrots, Chinese cabbage, kale, red pepper, spinach, broccoli, red cabbage, beet, Chinese cabbage, komatsuna, pumpkin, parsley, watercress, asparagus, celery, ginger, corn, burdock, green peas, purple potato (cabbage, lettuce, onion, radish, purple cabbage, red cabbage, cauliflower, eggplant), lemon juice"
19,VEGETABLE LIFE 100 BERRY SALAD,野菜生活100ベリーサラダ,200 ML,JUICE,"{""Per"": ""200 ml"", ""Energy"": ""78 kcal"", ""Protein"": ""0.8 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""18.9 g"", ""Salt equivalent"": ""0.10 g""}","Vegetables (carrots (imported and domestic), purple potatoes, purple cabbage, red perilla, Chinese cabbage, broccoli, kale, asparagus, cabbage (petitvale), parsley, celery, spinach, lettuce, pumpkin, watercress, beet, red bell pepper, cabbage, onion, radish), fruits (apples, grapes citric acid, flavorings, ferric pyrophosphate)"
20,ALMOND BREEZE LIGHTLY SWEETENED,アーモンド・ブリーズ微糖,200 ML ,JUICE,"{""Per"": ""200 ml"", ""Energy"": ""60 kcal"", ""Protein"": ""1.3 g"", ""Fat"": ""4.0 g"", ""Carbohydrate"": ""5.3 g"", ""Salt equivalent"": ""0.42 g""}","Almond milk (not cow's milk) made with almonds from California. Almond paste (made in U.S.A.), sugar, salt, dietary fiber, vegetable oil and fat/cellulose, emulsifier, flavor, calcium phosphate, stabilizer (polysaccharide thickener), pH adjuster, vitamin E, (contains almonds)"
21,SUMMER FRUIT PINEAPPLE & CITRUS LEMON,夏のフルーツこれ一本パイン&シトラスレモンブレンド,200 ML,JUICE,"{""Per"": ""200 ml"", ""Energy"": ""88 kcal"", ""Protein"": ""0.3 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""22.1 g"", ""Salt equivalent"": ""0.02 g""}"," Fruits (apple (imported), pineapple, mango, lemon, banana, passion fruit, acerola) / citric acid, vitamin C, flavor, vitamin B2, vitamin B12"
22,YOUR JOB'S TEARS BLENDED TEA,あなたのはと麦ブレンド茶,500 ML,RICE TEA,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.01 g""}"," Adlay, barley, brown rice, wild plant extracted minerals, habu tea, Eucommia tea, guava leaf, banaba leaf, reishi mushroom, ginseng, dokudami, shiitake mushroom, persimmon leaf, mandarin orange peel, wolfberry leaf, mugwort, kumazasa bamboo, amachazuru, soybean, kelp / vitamin C', 'Energy': '0 kcal Protein: 0.0 g Fat: 0.0 g Carbohydrate: 0.0 g Salt equivalent: 0.01 g  Ingredients: Adlay, barley, brown rice, wild plant extracted minerals, habu tea, Eucommia tea, guava leaf, banaba leaf, reishi mushroom, ginseng, dokudami, shiitake mushroom, persimmon leaf, mandarin orange peel, wolfberry leaf, mugwort, kumazasa bamboo, amachazuru, soybean, kelp / vitamin C', 'Protein': '0.0 g Fat: 0.0 g Carbohydrate: 0.0 g Salt equivalent: 0.01 g  Ingredients: Adlay, barley, brown rice, wild plant extracted minerals, habu tea, Eucommia tea, guava leaf, banaba leaf, reishi mushroom, ginseng, dokudami, shiitake mushroom, persimmon leaf, mandarin orange peel, wolfberry leaf, mugwort, kumazasa bamboo, amachazuru, soybean, kelp / vitamin C', 'Fat': '0.0 g Carbohydrate: 0.0 g Salt equivalent:  Adlay, barley, brown rice, wild plant extracted minerals, habu tea, Eucommia tea, guava leaf, banaba leaf, reishi mushroom, ginseng, dokudami, shiitake mushroom, persimmon leaf, mandarin orange peel, wolfberry leaf, mugwort, kumazasa bamboo, amachazuru, soybean, kelp / vitamin C', 'Carbohydrate': '0.0 g Salt equivalent: 0.01 g  Ingredients: Adlay, barley, brown rice, wild plant extracted minerals, habu tea, Eucommia tea, guava leaf, banaba leaf, reishi mushroom, ginseng, dokudami, shiitake mushroom, persimmon leaf, mandarin orange peel, wolfberry leaf, mugwort, kumazasa bamboo, amachazuru, soybean, kelp / vitamin C"
23,YOUR MATCHA AND BROWN RICE TEA,あなたの抹茶入り玄米茶,500 ML,RICE TEA,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.00 g""}"," Roasted rice, green tea (domestic), vitamin C"
24,CALPIS CONCENTRATE,カルピス 希釈用,470 ML,SOFT DRINKS,"{""Per"": ""100 ml"", ""Energy"": ""46 kcal"", ""Protein"": ""0.4 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""11.0 g"", ""Salt equivalent"": ""0.00 g""}","Milk (produced in Japan), sugar/flavoring, soy polysaccharides"
25,CALPIS 60% LESS SUGAR CONCENTRATE,カルピス 糖質60％オフ 希釈用,470 ML,SOFT DRINKS,"{""Per"": ""100 ml"", ""Energy"": ""16 kcal"", ""Protein"": ""0.4 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""3.8 g"", ""Salt equivalent"": ""0.04 g""}","Milk (produced in Japan), sugar, salt/flavoring, acidifier, stabilizer (pectin), sweetener (aspartame L-phenylalanine compound, acesulfame K, sucralose"
26,CALPIS MELON CREAM CAN 350ml,カルピスメロンクリームソーダ缶350ml,350 ML,SOFT DRINKS,"{""Per"": ""100 ml"", ""Energy"": ""31 kcal"", ""Protein"": ""0.2 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""7.6 g"", ""Salt equivalent"": ""0.06 g""}","Fructose glucose liquid sugar (manufactured in Japan), melon juice, powdered skimmed milk, lactic acid beverage, ice cream/carbonic acid, acidulant, stabilizer (soy polysaccharide), flavor, safflower yellow, sweetener (aspartame L-phenylalanine compound, acesulfame K), gardenia blue color"
27,CALPIS PREMIUM STRAWBERRY,カルピスプレミアムいちご,430 ML,SOFT DRINKS,"{""Per"": ""100 ml"", ""Energy"": ""47 kcal"", ""Protein"": ""0.4 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""11.0 g"", ""Salt equivalent"": ""0.06 g""}","Fructose glucose liquid sugar (manufactured in Japan), strawberry juice, skimmed milk powder, lactic acid bacteria beverage, strawberry extract, strawberry syrup/acidifier, stabilizer (soy polysaccharide), flavor, vegetable color, sweetener (sucralose, acesulfame K)"
28,DEDEKAMIN 500ml,ドデカミン500ml,500 ML,SPORTS DRINK,"{""Per"": ""100 ml"", ""Energy"": ""19 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""4.7 g"", ""Salt equivalent"": ""0.10 g""}","Fructose glucose liquid sugar (manufactured in Japan), salt, ginseng extract, prepared royal jelly, guarana, maca/carbonic acid, acidulant, flavor, V.C., sweetener (acesulfame K, aspartame L-phenylalanine compound), carotene dye, caffeine, arginine, alanine, glycine, leucine, niacin, isoleucine, valine, V.B6"
29,DEDEKAMIN STRONG CAN 300ml,ドデカミンストロング缶300ml,300 ML,SPORTS DRINK,"{""Per"": ""100 ml"", ""Energy"": ""19 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""4.7 g"", ""Salt equivalent"": ""0.10 g""}"," Fructose glucose liquid sugar (manufactured in Japan), salt, ginseng extract, prepared royal jelly, guarana, maca/carbonic acid, acidulant, flavor, V.C., sweetener (acesulfame K, aspartame L-phenylalanine compound), carotene dye, caffeine, arginine, alanine, glycine, leucine, niacin, isoleucine, valine, V.B6"
30,MIRACLE BODY V CAN 190g,ミラクルボディV 缶190g,190 G,SPORTS DRINK,"{""Per"": ""100 g"", ""Energy"": ""40 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""10.0 g"", ""Salt equivalent"": ""0.05 g""}"," Sugar (fructose glucose liquid sugar (manufactured in Japan), sugar), honey, guarana extract, ginseng extract/carbonic acid, acidifier, flavor, vitamin C, taurine (extract), caffeine, potassium chloride, sodium glutamate, sodium aspartate, vitamin B2, niacin, vitamin B6, soluble vitamin P, lysine, isoleucine, threonine"
31,YOUR ROOIBOS TEA,あなたのルイボスティー,500 ML,ROOIBOS TEA,"{""Per"": ""100 ml"", ""Energy"": ""0 kcal"", ""Protein"": ""0.0 g"", ""Fat"": ""0.0 g"", ""Carbohydrate"": ""0.0 g"", ""Salt equivalent"": ""0.01 g""}","Rooibos tea, vitamin C"
32,LUMONDO DE CRUNCHY CREPE,ルマンドdeグランチクレープ,110 ML,ICE CREAM,"{""Per"": ""110 ml"", ""Energy"": ""168 kcal"", ""Protein"": ""2.0 g"", ""Fat"": ""9.0 g"", ""Carbohydrate"": ""20.3 g"", ""Salt equivalent"": ""0.06 g""}","Quasi-chocolate (vegetable oil and fat (including soybean), sugar, cacao mass, whole milk powder, lactose, cocoa powder) (manufactured in Japan), cookies (wheat flour, sugar, margarine (including milk ingredients), syrup, liquid whole egg, maltose, salt, vegetable oil and fat), sugar, glucose, vegetable oil and fat, skimmed milk powder, maltose, syrup, cocoa powder, isomerized liquid sugar, creaming powder (containing dairy ingredients), emulsifier (from soybeans), stabilizer (polysaccharide thickener), flavor (from milk), leavening agent, color (carotene)"
33,WASABI ICE,わさびアイス,110 ML,ICE CREAM,"{""Per"": ""110 ml"", ""Energy"": ""153 kcal"", ""Protein"": ""2.5 g"", ""Fat"": ""7.8 g"", ""Carbohydrate"": ""18.4 g"", ""Salt equivalent"": ""0.07 g""}"," Sugar (manufactured in Japan), skimmed milk powder, cream (containing dairy ingredients), vegetable fats and oils, starch syrup, glucose, wasabi powder/emulsifier (derived from soybeans), flavor, stabilizer (polysaccharide thickener), color (gardenia)"
34,BIG WATERMELON BAR,BIGスイカバー,120 ML,ICE CREAM,"{""Per"": ""120 ml"", ""Energy"": ""117 kcal"", ""Protein"": ""0.1 g"", ""Fat"": ""0.8 g"", ""Carbohydrate"": ""27.4 g"", ""Salt equivalent"": ""0.06 g""}","Sugar, watermelon juice, candy, chocolate confectionery, salt, stabilizer (polysaccharide thickener, agar agar, cellulose), color (vegetable dye, safflower yellow, purple corn dye, red yeast, gardenia), flavor, acidifier, emulsifier, brightener, inflating agent (some ingredients include milk, wheat, soybeans"
35,ZERO MINI CUP UJI MATCHA,ZEROミニカップ[宇治抹茶],120 ML,ICE CREAM,"{""Per"": ""120 ml"", ""Energy"": ""126 kcal"", ""Protein"": ""1.7 g"", ""Fat"": ""10.3 g"", ""Carbohydrate"": ""11.4 g"", ""Salt equivalent"": ""0.20 g""}","Vegetable oil and fat (manufactured in Japan), reduced sugar syrup, maltitol, dairy products, lactitol, milk protein, matcha, salt, protein hydrolysate/emulsifier, seasoning (inorganic salt, etc.), stabilizer (polysaccharide thickener, agar), pH adjuster, casein sodium, sweetener (aspartame, L-phenylalanine compound, acesulfame K), flavoring"
36,LADY BORDEN MULTI CHOCOLATE BAR,レディーボーデン マルチ チョコレートバー (50ml x 6p),300 ML,ICE CREAM,"{""Per"": ""50 ml"", ""Energy"": ""160 kcal"", ""Protein"": ""2.1 g"", ""Fat"": ""11.1 g"", ""Carbohydrate"": ""12.8 g"", ""Salt equivalent"": ""0.04 g""}","Dairy products (manufactured in Japan and New Zealand), chocolate, candy, sugar, almond crunch/emulsifier (derived from soybeans), stabilizer (polysaccharide thickener), flavor, color (vegetable color, carotene, annatto)"
37,200g FLUFFY PLUM PORRIDGE,200gふっくら梅がゆ,200 G,RICE PORRIDGE,"{""Per"": ""200 g"", ""Energy"": ""101 kcal"", ""Protein"": ""1.6 g"", ""Fat"": ""0.2 g"", ""Carbohydrate"": ""23.2 g"", ""Salt equivalent"": ""1.00 g""}","Rice (domestically produced), plum paste, thickening polysaccharide"
38,ION BALANCEPORRIDGE,イオンバランスおかゆ,100 G,RICE PORRIDGE,"{""Per"": ""100 g"", ""Energy"": ""51 kcal"", ""Protein"": ""0.8 g"", ""Fat"": ""0.2 g"", ""Carbohydrate"": ""11.6 g"", ""Salt equivalent"": ""0.45 g""}"," Rice (domestically produced), salt, vegetable lactic acid bacteria (sterilized), thickening polysaccharide, sodium citrate, potassium chloride, citric acid"
39,GOROGURA LUXURY FRUITS,ごろグラ　贅沢果実,320 G,CEREAL,"{""Per"": ""40 g"", ""Energy"": ""165 kcal"", ""Protein"": ""2.6 g"", ""Fat"": ""5.0 g"", ""Carbohydrate"": ""30.2 g"", ""Salt equivalent"": ""0.25 g""}"," Oat flakes (Australia produced or UK produced or other), wheat cereal puff (contains soybeans), rye cereal puff (corn grits, rye flour, wheat flour, other), sugar, vegetable oil, water-soluble dietary fiber, dried pineapple processed product, dextrin, dried strawberry processed product, blueberry puff processed product (sugar, wheat flour, corn grits, salt, blueberry juice powder), dried mango processed product, lactose, maple syrup/glycerin, processed starch, calcium carbonate, acidulant, vitamin C, emulsifier, flavoring, antioxidant (vitamin E, vitamin C, rosemary extract), ferric pyrophosphate, coloring (gardenia, anthocyanin, paprika color), thickener (gum arabic), casein Na, niacin, glazing agent, pantothenate calcium, vitamin B6, vitamin B1, vitamin B2, folic acid, vitamin D, vitamin B12"
40,GOROGURA CHOCOLATE NUTS,ごろグラ　チョコナッツ,320 G,CEREAL,"{""Per"": ""40 g"", ""Energy"": ""177 kcal"", ""Protein"": ""3.3 g"", ""Fat"": ""7.1 g"", ""Carbohydrate"": ""27.7 g"", ""Salt equivalent"": ""0.24 g""}"," Oat flakes (Australia produced or UK produced or other), wheat cereal puff (contains soybeans), rye cereal puff (corn grits, rye flour, wheat flour, other), sugar, vegetable oil, water-soluble dietary fiber, dried pineapple processed product, dextrin, dried strawberry processed product, blueberry puff processed product (sugar, wheat flour, corn grits, salt, blueberry juice powder), dried mango processed product, lactose, maple syrup/glycerin, processed starch, calcium carbonate, acidulant, vitamin C, emulsifier, flavoring, antioxidant (vitamin E, vitamin C, rosemary extract), ferric pyrophosphate, coloring (gardenia, anthocyanin, paprika color), thickener (gum arabic), casein Na, niacin, glazing agent, pantothenate calcium, vitamin B6, vitamin B1, vitamin B2, folic acid, vitamin D, vitamin B12"
41,GOROGURA 60% LESS SUGAR CHOCOLATE NUTS,ごろグラ　糖質60%オフ　チョコナッツ,350 G ,CEREAL,"{""Per"": ""50 g"", ""Energy"": ""212 kcal"", ""Protein"": ""13.8 g"", ""Fat"": ""10.9 g"", ""Carbohydrate"": ""21.7 g"", ""Salt equivalent"": ""0.15 g""}"," Rich chocolate flavored cereal is filled with 4 kinds of nuts. Delicious and super healthy high-functioning, high-quality granola. Oat Flakes (Australia Produced or UK Produced or Other), Wheat Cereal Puff (Contains Soybeans), Rye Cereal Puff (Corn Grits, Rye Flour, WHEAT FLOUR, Other), Sugar, Vegetable Oil, Water-Soluble Dietary Fiber, Dried Pineapple Processed Product, Dextrin, Dried Strawberry Processed Product, Blueberry Puff Processed Product (Sugar, WHEAT FLOUR, Corn Grits, Salt, Blueberry Juice Powder), Dried Mango Processed Product, Lactose, Maple Syrup/Glycerin, Processed Starch, Calcium Carbonate, Acidulant, Vitamin C, Emulsifier, Flavoring, Antioxidant (Vitamin E, Vitamin C, Rosemary Extract), Ferric Pyrophosphate, Coloring (Gardenia, Anthocyanin, Paprika Color), Thickener (Gum Arabic), Casein Na, Niacin, Glazing Agent, Pantothenate Calcium, Vitamin B6, Vitamin B1, Vitamin B2, Folic Acid, Vitamin D, Vitamin B12"
42,GOROGURA 50% LESS SUGAR COLORFUL FRUITS,ごろグラ　糖質50%オフ　彩り果実,350 G,CEREAL,"{""Per"": ""50 g"", ""Energy"": ""220 kcal"", ""Protein"": ""13.8 g"", ""Fat"": ""10.4 g"", ""Carbohydrate"": ""22.4 g"", ""Salt equivalent"": ""0.10 g""}","Oat flakes (Australia produced or UK produced or other), wheat cereal puff (contains soybeans), sugar, rye cereal puff (corn grits, rye flour, wheat flour, other), vegetable oil, almonds, water-soluble dietary fiber, cashew nuts, nut crunch (wheat flour, sugar, shortening, coconut, starch, salt, hazelnut paste, almond powder, cocoa powder, walnut, dextrin, lactose, cacao mass), calcium carbonate, flavoring, emulsifier, vitamin C, antioxidant (vitamin E, vitamin C), ferric pyrophosphate, caramel color, niacin, casein Na, pantothenate calcium, vitamin B6, vitamin B1, vitamin B2, folic acid, vitamin D, vitamin B12"
43,CISCORN FROSTED,シスコ一ン　フロスト,220 G,CEREAL,"{""Per"": ""40 g"", ""Energy"": ""152 kcal"", ""Protein"": ""1.5 g"", ""Fat"": ""0.4 g"", ""Carbohydrate"": ""36.2 g"", ""Salt equivalent"": ""0.52 g""}","Corn grits (domestically produced), sugar, salt, vitamin C, calcium carbonate, ferric pyrophosphate, emulsifier, niacin, antioxidant (vitamin E), pantothenate calcium, vitamin B6, vitamin B1, vitamin B2, folic acid, vitamin D, vitamin B12"
44,GOROGURA PLANT BASED NUTS & OATS,ごろグラ　Plant Based 3種のナッツとオーツ麦,280 G,CEREAL,"{""Per"": ""40 g"", ""Energy"": ""187 kcal"", ""Protein"": ""6.5 g"", ""Fat"": ""8.4 g"", ""Carbohydrate"": ""23.3 g"", ""Salt equivalent"": ""0.04 g""}"," Oat flakes (Australia produced or UK produced or other), sugar, wheat cereal puff (contains soybeans), rye cereal puff (corn grits, rye flour, wheat flour, other), vegetable oil, almonds, water-soluble dietary fiber, cashew nuts, nut crunch (wheat flour, sugar, shortening, coconut, starch, salt, hazelnut paste, almond powder, cocoa powder, walnut, dextrin, lactose, cacao mass), calcium carbonate, flavoring, emulsifier, vitamin C, antioxidant (vitamin E, vitamin C), ferric pyrophosphate, caramel color, niacin, casein Na, pantothenate calcium, vitamin B6, vitamin B1, vitamin B2, folic acid, vitamin D, vitamin B12"
45,KUROI BUTA CURRY UDON,黒い豚カレーうどん,87 G,CUP NOODLES,"{""Per"": ""87 g"", ""Energy"": ""387 kcal"", ""Protein"": ""8.0 g"", ""Fat"": ""16.4 g"", ""Carbohydrate"": ""51.8 g"", ""Salt equivalent"": ""5.50 g""}"," Fried noodles (wheat flour (made in Japan), vegetable oil and fat, starch, salt, vegetable protein, dried yeast, egg white), seasoning (salt, spices, powdered vegetables, sugar, pork fat, dextrin, pork extract, soy sauce, seafood extract, protein hydrolysate, green onion, sauce, fermented seasoning, yeast extract), seasoned kayaku (seasoned pork, onion, carrot), processed starch, seasoning (amino acid, etc.), polysaccharide thickener, phosphate (Na), calcium carbonate, caramel color, lecithin, flavor, antioxidant (vitamin E), vitamin B2, vitamin B1 (contains wheat, eggs, milk ingredients, soybeans, pork"
